epoch,step,min,max,mean,std
1,10000,-0.0004378363082651049,0.00038465720717795193,9.479820164415287e-07,0.0001078462737496011
2,20000,-0.0007466753595508635,0.0015877882251515985,-1.8339260350330733e-06,0.0002487582678440958
3,30000,-0.0008010532474145293,0.0008044398273341358,-1.2089318261132576e-05,0.0002443994744680822
4,40000,-0.00029763911152258515,0.0003125396615359932,-2.848101757990662e-06,9.564981155563146e-05
5,50000,-0.0006512683467008173,0.0004626559966709465,-2.7480436983751133e-06,0.00013462001516018063
6,60000,-0.00026676541892811656,0.0004417758609633893,-1.5383700429083547e-06,7.513615855714306e-05
7,70000,-0.0002891167241614312,0.00020565930753946304,-8.575607353122905e-06,6.272776226978749e-05
8,80000,-0.00022741970315109938,0.0002417988725937903,-4.4006656025885604e-06,5.901228723814711e-05
9,90000,-0.0001890217827167362,0.0001404207869200036,-4.009188614872983e-06,4.856596206082031e-05
10,100000,-0.00010582014510873705,0.0001058592097251676,-6.710888555971906e-08,3.209597707609646e-05
